mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
quartetj       machine=quartet          RGB565
quarth         machine=blockhl          RGB565
quartrba       machine=quarterb         RGB565
quartt2j       machine=quartet2         RGB565
quiz18k        machine=quiz18k          RGB565
quiz365        machine=quiz365          RGB565
quizchq        machine=quizchq          RGB565
quizchql       machine=quizchq          RGB565
quizdai2       machine=neogeo           RGB565
quizdais       machine=neogeo           RGB565
quizdna        machine=quizdna          RGB565
quizf1         machine=quizf1           RGB565
quizhq         machine=quizhq           RGB565
quizkof        machine=neogeo           RGB565
quizmeku       machine=system24         RGB565
quizpani       machine=quizpani         RGB565
quiztou        machine=namcona1         RGB565
quiztvqq       machine=yarunara         RGB565
qwak           machine=qwak             RGB565
qzchikyu       machine=qzchikyu         RGB565
qzkklgy2       machine=qzkklgy2         RGB565
qzkklogy       machine=drgnunit         RGB565
qzquest        machine=qzquest          RGB565
qzshowby       machine=qzshowby         RGB565
r2dtank        machine=r2dtank          RGB565
rabbit         machine=rabbit           RGB565
rabiolep       machine=rpunch           RGB565
rackemup       machine=battlnts         RGB565
racoon         machine=vamphalf         RGB565
radarscp       machine=radarscp         RGB565
radarzn1       machine=cvs              RGB565
radarznt       machine=cvs              RGB565
radarzon       machine=cvs              RGB565
radrad         machine=no_nvram         RGB565
raflesia       machine=system1          RGB565
ragnagrd       machine=neogeo           RGB565
raiden         machine=raiden           RGB565
raiden2        machine=raiden2          RGB565
raidena        machine=raidena          RGB565
raidenk        machine=raidena          RGB565
raident        machine=raidena          RGB565
raiders5       machine=raiders5         RGB565
raidrs5t       machine=raiders5         RGB565
raimais        machine=raimais          RGB565
rainbow        machine=rainbow          RGB565
rainbowe       machine=rainbow          RGB565
rainbowo       machine=rainbow          RGB565
rallybik       machine=rallybik         RGB565
rallys         machine=rallys           RGB565
rallyx         machine=rallyx           RGB565
rallyxm        machine=rallyx           RGB565
rambo3         machine=rambo3           RGB565
rambo3a        machine=rambo3a          RGB565
rambo3ae       machine=rambo3a          RGB565
rampage        machine=mono_sg          RGB565
rampage2       machine=mono_sg          RGB565
raphero        machine=raphero          RGB565
rastan         machine=rastan           RGB565
rastanu        machine=rastan           RGB565
rastanu2       machine=rastan           RGB565
rastsag2       machine=rastsag2         RGB565
rastsaga       machine=rastan           RGB565
raystorm       machine=fx1b             RGB565
razmataz       machine=razmataz         RGB565
rbff1          machine=neogeo           RGB565
rbff2          machine=neogeo           RGB565
rbff2a         machine=neogeo           RGB565
rbffspec       machine=neogeo           RGB565
rbibb          machine=vsnes            RGB565
rbibba         machine=vsnes            RGB565
rbtapper       machine=mcr3_ssio        RGB565
rdaction       machine=ninjak2a         RGB565
reactor        machine=reactor          RGB565
realbrk        machine=realbrk          RGB565
recordbr       machine=recordbr         RGB565
redalert       machine=redalert         RGB565
redclash       machine=redclash         RGB565
redclask       machine=redclash         RGB565
redhawk        machine=redhawk          RGB565
redlin2p       machine=redline          RGB565
redrobin       machine=fastfred         RGB565
redufo         machine=galaxian         RGB565
regulus        machine=small            RGB565
reguluso       machine=small            RGB565
regulusu       machine=small            RGB565
reikaids       machine=reikaids         RGB565
renaiclb       machine=renaiclb         RGB565
renegade       machine=renegade         RGB565
repulse        machine=sonofphx         RGB565
rescraid       machine=balsente         RGB565
rescrdsa       machine=balsente         RGB565
retofin1       machine=retofinb         RGB565
retofin2       machine=retofinb         RGB565
retofinv       machine=retofinv         RGB565
rezon          machine=rezon            RGB565
rf2            machine=rf2_gx400        RGB565
ribbit         machine=segac2           RGB565
ridhero        machine=neogeo           RGB565
ridheroh       machine=neogeo           RGB565
ridleofp       machine=segae            RGB565
rimrck12       machine=rimrockn         RGB565
rimrck16       machine=rimrockn         RGB565
rimrck20       machine=rimrockn         RGB565
rimrockn       machine=rimrockn         RGB565
ringfgt        machine=vsgongf          RGB565
ringfgt2       machine=vsgongf          RGB565
ringkin2       machine=ringking         RGB565
ringkin3       machine=kingofb          RGB565
ringking       machine=ringking         RGB565
ringohja       machine=mainevt          RGB565
riotcity       machine=riotcity         RGB565
ripcord        machine=ripcord          RGB565
riskchal       machine=m90              RGB565
rjammer        machine=rjammer          RGB565
rmhaihai       machine=rmhaihai         RGB565
rmhaihib       machine=rmhaihai         RGB565
rmhaijin       machine=rmhaihai         RGB565
rmhaisei       machine=rmhaisei         RGB565
roadf          machine=roadf            RGB565
roadf2         machine=roadf            RGB565
robby          machine=robby            RGB565
roboarmy       machine=neogeo           RGB565
robokid        machine=robokid          RGB565
robokidj       machine=robokid          RGB565
robotbwl       machine=robotbwl         RGB565
rockclim       machine=rockclim         RGB565
rockn          machine=rockn            RGB565
rockrage       machine=rockrage         RGB565
rockragj       machine=rockrage         RGB565
rocnrope       machine=rocnrope         RGB565
rocnropk       machine=rocnrope         RGB565
rodland        machine=system_A         RGB565
rodlandj       machine=system_A         RGB565
rodlndjb       machine=system_A         RGB565
roishtar       machine=roishtar         RGB565
roldfrga       machine=roldfrog         RGB565
roldfrog       machine=roldfrog         RGB565
rollace        machine=rollrace         RGB565
rollace2       machine=rollace2         RGB565
rollerg        machine=rollerg          RGB565
rollergj       machine=rollerg          RGB565
rollingc       machine=rollingc         RGB565
rongrong       machine=rongrong         RGB565
rotaryf        machine=rotaryf          RGB565
rougien        machine=mermaid          RGB565
roundup        machine=thepit           RGB565
route16        machine=route16          RGB565
route16a       machine=route16          RGB565
route16b       machine=route16          RGB565
routex         machine=routex           RGB565
royalmah       machine=royalmah         RGB565
rpatrolb       machine=cclimber         RGB565
rpunch         machine=rpunch           RGB565
rranger        machine=rranger          RGB565
rshark         machine=rshark           RGB565
rthunder       machine=rthunder         RGB565
rthundro       machine=rthunder         RGB565
rtype          machine=rtype            RGB565
rtype2         machine=rtype2           RGB565
rtype2j        machine=rtype2           RGB565
rtypelej       machine=raster           RGB565
rtypeleo       machine=raster           RGB565
rtypepj        machine=rtype            RGB565
rtypeu         machine=rtype            RGB565
rugrats        machine=wiping           RGB565
runark         machine=growl            RGB565
runaway        machine=runaway          RGB565
rundeep        machine=thedeep          RGB565
rushatck       machine=gberet           RGB565
rushcrsh       machine=srumbler         RGB565
rvschool       machine=znqsound         RGB565
rygar          machine=rygar            RGB565
rygar2         machine=rygar            RGB565
rygarj         machine=rygar            RGB565
ryouran        machine=skns             RGB565
ryujin         machine=ryujin           RGB565
ryukendn       machine=shadoww          RGB565
ryukyu         machine=s16dummy         RGB565
s1945          machine=s1945            RGB565
s1945j         machine=s1945            RGB565
s1945jn        machine=gunbird          RGB565
s1945p         machine=neogeo           RGB565
sabotenb       machine=bjtwin           RGB565
sadari         machine=primella         RGB565
safari         machine=safari           RGB565
safarir        machine=safarir          RGB565
sailormn       machine=sailormn         RGB565
sailormo       machine=sailormn         RGB565
sailorwr       machine=sailorwr         RGB565
sailorws       machine=sailorws         RGB565
saiyugb1       machine=saiyugb1         RGB565
saiyugb2       machine=saiyugb2         RGB565
saiyugou       machine=chinagat         RGB565
salamand       machine=salamand         RGB565
salamanj       machine=salamand         RGB565
samesam2       machine=samesame         RGB565
samesame       machine=samesame         RGB565
samsho         machine=neogeo           RGB565
samsho2        machine=neogeo           RGB565
samsho3        machine=neogeo           RGB565
samsho4        machine=neogeo           RGB565
samurai        machine=4ports           RGB565
samuraia       machine=sngkace          RGB565
sandscrp       machine=sandscrp         RGB565
sarge          machine=mono_tcs         RGB565
sarukani       machine=skns             RGB565
sasuke         machine=sasuke           RGB565
satansat       machine=satansat         RGB565
saturn         machine=blueprnt         RGB565
sauro          machine=sauro            RGB565
savagere       machine=neogeo           RGB565
savgbees       machine=exedexes         RGB565
sbagman        machine=bagman           RGB565
sbagmans       machine=bagman           RGB565
sbasebal       machine=alpha68k_V_sb    RGB565
sbasketb       machine=sbasketb         RGB565
sbasketo       machine=sbasketb         RGB565
sbasketu       machine=sbasketb         RGB565
sbbros         machine=pang             RGB565
sbdk           machine=hunchbkd         RGB565
sbm            machine=sbm              RGB565
sboblbob       machine=boblbobl         RGB565
sbowling       machine=sbowling         RGB565
sbrkout        machine=sbrkout          RGB565
sbugger        machine=sbugger          RGB565
scandal        machine=scandal          RGB565
scandalm       machine=mjfocusm         RGB565
scessjoe       machine=ashnojoe         RGB565
schaser        machine=schaser          RGB565
schasrcv       machine=lupin3           RGB565
sci            machine=sci              RGB565
scia           machine=sci              RGB565
scion          machine=scion            RGB565
scionc         machine=scion            RGB565
sciu           machine=sci              RGB565
scobra         machine=type1            RGB565
scobrab        machine=type1            RGB565
scobras        machine=type1            RGB565
scobrase       machine=type1            RGB565
scontra        machine=scontra          RGB565
scontraj       machine=scontra          RGB565
scorpnmc       machine=scorpnmc         RGB565
scramblb       machine=scramblb         RGB565
scramble       machine=scramble         RGB565
scrambls       machine=scramble         RGB565
scregg         machine=scregg           RGB565
screwloo       machine=gottlieb2        RGB565
sctionza       machine=lwings           RGB565
scudhamm       machine=scudhamm         RGB565
sdgndmps       machine=sdgndmps         RGB565
sdgndmrb       machine=sdgndmrb         RGB565
sdi            machine=sdi              RGB565
sdioj          machine=sdi              RGB565
sdodgeb        machine=neogeo           RGB565
sdtennis       machine=bnj              RGB565
sdungeon       machine=mcu              RGB565
searchar       machine=searchar         RGB565
seawolf        machine=seawolf          RGB565
seawolf2       machine=seawolf2         RGB565
secolove       machine=mbmj_h12bit      RGB565
secretab       machine=slyspy           RGB565
secretag       machine=slyspy           RGB565
sectionz       machine=lwings           RGB565
sectrzon       machine=no_nvram         RGB565
seganinj       machine=system1          RGB565
seganinu       machine=system1          RGB565
seicross       machine=no_nvram         RGB565
selfeena       machine=selfeena         RGB565
sengekij       machine=skns             RGB565
sengekis       machine=skns             RGB565
sengokh        machine=neogeo           RGB565
sengokmj       machine=sengokmj         RGB565
sengoku        machine=neogeo           RGB565
sengoku2       machine=neogeo           RGB565
senjyo         machine=senjyo           RGB565
senknow        machine=skns             RGB565
sentetst       machine=balsente         RGB565
sercharu       machine=searchar         RGB565
sf1            machine=sf1              RGB565
sf1jp          machine=sf1jp            RGB565
sf1p           machine=sf1p             RGB565
sf1us          machine=sf1us            RGB565
sfchamp        machine=fx1a             RGB565
sfeverbw       machine=sheriff          RGB565
sfex           machine=znqsound         RGB565
sfex2          machine=znqsound         RGB565
sfex2p         machine=znqsound         RGB565
sfexj          machine=znqsound         RGB565
sfexp          machine=znqsound         RGB565
sfexpj         machine=znqsound         RGB565
sflush         machine=sflush           RGB565
sfootbal       machine=balsente         RGB565
sformula       machine=tail2nos         RGB565
sfposeid       machine=mcu              RGB565
sfrush         machine=flagstaff        RGB565
sftm           machine=sftmspec         RGB565
sftm110        machine=sftmspec         RGB565
sftm111        machine=sftmspec         RGB565
sftmj          machine=sftmspec         RGB565
sfx            machine=sfx              RGB565
sg2j           machine=znqsound         RGB565
sgladiat       machine=sgladiat         RGB565
sgmast         machine=system24         RGB565
shackled       machine=shackled         RGB565
shadfrce       machine=shadfrce         RGB565
shadoww        machine=shadoww          RGB565
shadowwa       machine=shadoww          RGB565
shangha2       machine=shangha2         RGB565
shangha3       machine=shangha3         RGB565
shanghai       machine=shanghai         RGB565
shangkid       machine=shangkid         RGB565
shangon        machine=shangon          RGB565
shangonb       machine=shangon          RGB565
shaolins       machine=shaolins         RGB565
sharkatt       machine=sharkatt         RGB565
sharrier       machine=sharrier         RGB565
shdancbl       machine=shdancbl         RGB565
shdancer       machine=shdancer         RGB565
shdancrj       machine=shdancrj         RGB565
sheriff        machine=sheriff          RGB565
shinobi        machine=shinobi          RGB565
shinobia       machine=shinobl          RGB565
shinobib       machine=shinobi          RGB565
shinobl        machine=shinobl          RGB565
shippumd       machine=shippumd         RGB565
shiryu2        machine=znqsound         RGB565
shisen         machine=shisen           RGB565
shisen2        machine=m90              RGB565
shocking       machine=shocking         RGB565
shocktr2       machine=neogeo           RGB565
shocktra       machine=neogeo           RGB565
shocktro       machine=neogeo           RGB565
shogwarr       machine=shogwarr         RGB565
shollow        machine=mcr2             RGB565
shollow2       machine=mcr2             RGB565
shootbul       machine=pacman           RGB565
shootgal       machine=shootgal         RGB565
shootoub       machine=shootouj         RGB565
shootouj       machine=shootouj         RGB565
shootout       machine=shootout         RGB565
shougi         machine=shougi           RGB565
shougi2        machine=shougi           RGB565
showdown       machine=exidy440         RGB565
shrike         machine=shrike           RGB565
shtngmst       machine=chplft           RGB565
shtrider       machine=shtrider         RGB565
shuffle        machine=shuffle          RGB565
shufshot       machine=sftm             RGB565
sia2650        machine=tinvader         RGB565
sichuan2       machine=shisen           RGB565
sichuana       machine=shisen           RGB565
sicv           machine=invadpt2         RGB565
sidearjp       machine=sidearms         RGB565
sidearmr       machine=sidearms         RGB565
sidearms       machine=sidearms         RGB565
sidepckt       machine=sidepckt         RGB565
sidepctb       machine=sidepckt         RGB565
sidepctj       machine=sidepctj         RGB565
sidetrac       machine=targ             RGB565
silentd        machine=silentd          RGB565
silentdj       machine=silentd          RGB565
silkroad       machine=silkroad         RGB565
silkworm       machine=silkworm         RGB565
silkwrm2       machine=silkworm         RGB565
silvland       machine=cclimber         RGB565
simps2pa       machine=simpsons         RGB565
simps2pj       machine=simpsons         RGB565
simpsn2p       machine=simpsons         RGB565
simpsons       machine=simpsons         RGB565
sindbadm       machine=sindbadm         RGB565
sinvasn        machine=commando         RGB565
sinvasnb       machine=commando         RGB565
sinvemag       machine=invaders         RGB565
sinvzen        machine=invaders         RGB565
sisv           machine=invadpt2         RGB565
sisv2          machine=invadpt2         RGB565
sitv           machine=invaders         RGB565
skingam2       machine=raster           RGB565
skingame       machine=raster           RGB565
skns           machine=skns             RGB565
skyadvnj       machine=alpha68k_V       RGB565
skyadvnt       machine=alpha68k_V       RGB565
skyadvnu       machine=alpha68k_V       RGB565
skyalert       machine=skyalert         RGB565
skyarmy        machine=skyarmy          RGB565
skybase        machine=skybase          RGB565
skybump        machine=looping          RGB565
skychut        machine=skychut          RGB565
skydiver       machine=skydiver         RGB565
skyfox         machine=skyfox           RGB565
skykid         machine=skykid           RGB565
skykidd        machine=skykid           RGB565
skykiddo       machine=skykiddx         RGB565
skykiddx       machine=skykiddx         RGB565
skykido        machine=skykid           RGB565
skylancr       machine=funkybee         RGB565
skyraid        machine=skyraid          RGB565
skyraidr       machine=pisces           RGB565
skyshark       machine=twincobr         RGB565
skyskipr       machine=skyskipr         RGB565
skysmash       machine=skysmash         RGB565
skysoldr       machine=alpha68k_II      RGB565
skywolf        machine=srdmissn         RGB565
skywolf2       machine=srdmissn         RGB565
slapbtjp       machine=slapfigh         RGB565
slapbtuk       machine=slapbtuk         RGB565
slapfigh       machine=slapfigh         RGB565
sliksh17       machine=slikshot         RGB565
slikshot       machine=slikshot         RGB565
slither        machine=slither          RGB565
slithera       machine=slither          RGB565
slyspy         machine=slyspy           RGB565
slyspy2        machine=slyspy           RGB565
smgolf         machine=vsnes            RGB565
smgolfb        machine=vsnes            RGB565
smgolfj        machine=vsnes            RGB565
smooncrs       machine=mooncrst         RGB565
snakepit       machine=balsente         RGB565
snakjack       machine=balsente         RGB565
snapjack       machine=ladybug          RGB565
sncwgltd       machine=zn               RGB565
sngkace        machine=sngkace          RGB565
snowbalt       machine=snowboar         RGB565
snowboar       machine=snowboar         RGB565
snowbro2       machine=snowbro2         RGB565
snowbroa       machine=snowbros         RGB565
snowbrob       machine=snowbros         RGB565
snowbroj       machine=snowbros         RGB565
snowbros       machine=snowbros         RGB565
socbrawl       machine=neogeo           RGB565
soccer         machine=soccer           RGB565
sokonuke       machine=extdwnhl         RGB565
solarfox       machine=mcr1             RGB565
solarwar       machine=xsleena          RGB565
soldamj        machine=system_A         RGB565
solfight       machine=invaders         RGB565
solfigtr       machine=solfigtr         RGB565
solomon        machine=solomon          RGB565
sonicwi        machine=aerofgtb         RGB565
sonicwi2       machine=neogeo           RGB565
sonicwi3       machine=neogeo           RGB565
sonofphx       machine=sonofphx         RGB565
sonson         machine=sonson           RGB565
sonsonj        machine=sonson           RGB565
sos            machine=sos              RGB565
sotsugyo       machine=funkyjet         RGB565
soulclbr       machine=coh700           RGB565
souledga       machine=coh110_danceyes  RGB565
souledgb       machine=coh110_danceyes  RGB565
souledge       machine=coh110_danceyes  RGB565
spacbatt       machine=pisces           RGB565
spacbeam       machine=greenberet       RGB565
spaceat2       machine=invaders         RGB565
spaceatt       machine=invaders         RGB565
spacebrd       machine=spacefb          RGB565
spacecho       machine=spacecho         RGB565
spacecr        machine=nomcu            RGB565
spacedem       machine=spacefb          RGB565
spacedx        machine=spacedx          RGB565
spacedxj       machine=spacedx          RGB565
spacedxo       machine=spacedxo         RGB565
spacefb        machine=spacefb          RGB565
spacefbb       machine=spacefb          RGB565
spacefbg       machine=spacefb          RGB565
spacefev       machine=sheriff          RGB565
spacefrt       machine=cvs              RGB565
spacegun       machine=spacegun         RGB565
spaceint       machine=spaceint         RGB565
spaceod        machine=spaceod          RGB565
spaceph        machine=invaders         RGB565
spaceplt       machine=timeplt          RGB565
spaceskr       machine=nomcu            RGB565
spacetrk       machine=4ports           RGB565
spacewr3       machine=invaders         RGB565
spacezap       machine=spacezap         RGB565
spang          machine=pang             RGB565
sparkman       machine=sparkman         RGB565
spartanx       machine=kungfum          RGB565
spatter        machine=small            RGB565
spceking       machine=invaders         RGB565
spcenctr       machine=spcenctr         RGB565
spcewarl       machine=invaders         RGB565
spcewars       machine=invaders         RGB565
spcforc2       machine=spcforce         RGB565
spcforce       machine=spcforce         RGB565
spcfrcii       machine=spclforc         RGB565
spcking2       machine=spcking2         RGB565
spclaser       machine=invaders         RGB565
spclforc       machine=spclforc         RGB565
spcpostn       machine=angelkds         RGB565
spdball        machine=williams         RGB565
spdbuggy       machine=spdbuggy         RGB565
spdcoin        machine=type1            RGB565
spdodgeb       machine=spdodgeb         RGB565
speakres       machine=speakres         RGB565
spectar        machine=targ             RGB565
spectar1       machine=targ             RGB565
speedatk       machine=speedatk         RGB565
speedbal       machine=speedbal         RGB565
speedspn       machine=speedspn         RGB565
spelnkrj       machine=spelunkr         RGB565
spelunk2       machine=spelunk2         RGB565
spelunkr       machine=spelunkr         RGB565
spiders        machine=spiders          RGB565
spiders2       machine=spiders          RGB565
spiero         machine=dorunrun         RGB565
spiker         machine=balsente         RGB565
spinlbrj       machine=spinlbrk         RGB565
spinlbrk       machine=spinlbrk         RGB565
spinlbru       machine=spinlbrk         RGB565
spinmast       machine=neogeo           RGB565
splash         machine=splash           RGB565
splat          machine=williams         RGB565
splndrbt       machine=splndrbt         RGB565
spnchotj       machine=punchout         RGB565
spnchout       machine=punchout         RGB565
spool3         machine=pcktgal          RGB565
spool3i        machine=pcktgal          RGB565
sprcros2       machine=sprcros2         RGB565
springer       machine=springer         RGB565
sprint1        machine=sprint1          RGB565
sprint2        machine=sprint2          RGB565
sprint2a       machine=sprint2          RGB565
sprint4        machine=sprint4          RGB565
sprint4a       machine=sprint4          RGB565
sprint8        machine=sprint8          RGB565
sprint8a       machine=sprint8          RGB565
sprtmtch       machine=sprtmtch         RGB565
sptrekct       machine=4ports           RGB565
spy            machine=spy              RGB565
spyhnt2a       machine=spyhunt2         RGB565
spyhunt        machine=spyhunt          RGB565
spyhunt2       machine=spyhunt2         RGB565
spyu           machine=spy              RGB565
sqbert         machine=qbert            RGB565
sqixbl         machine=superqix         RGB565
sranger        machine=rranger          RGB565
srangerb       machine=rranger          RGB565
srangerw       machine=rranger          RGB565
srdarwin       machine=srdarwin         RGB565
srdarwnj       machine=srdarwin         RGB565
srdmissn       machine=srdmissn         RGB565
srmp2          machine=srmp2            RGB565
srmp3          machine=srmp3            RGB565
srumbler       machine=srumbler         RGB565
srumblr2       machine=srumbler         RGB565
ssanchan       machine=small            RGB565
sscandal       machine=system1          RGB565
sshangha       machine=sshangha         RGB565
sshanghb       machine=sshangha         RGB565
sshooter       machine=sshooter         RGB565
sshot137       machine=sftm             RGB565
ssi            machine=ssi              RGB565
ssideki        machine=neogeo           RGB565
ssideki2       machine=neogeo           RGB565
ssideki3       machine=neogeo           RGB565
ssideki4       machine=neogeo           RGB565
sslam          machine=sslam            RGB565
ssmissin       machine=ssmissin         RGB565
ssoldier       machine=psoldier         RGB565
ssozumo        machine=ssozumo          RGB565
sspacaho       machine=4ports           RGB565
sspacat2       machine=3ports           RGB565
sspacatc       machine=3ports           RGB565
sspaceat       machine=3ports           RGB565
sspeedr        machine=sspeedr          RGB565
sspirits       machine=system24         RGB565
ssrdrabd       machine=ssriders         RGB565
ssrdrebc       machine=ssriders         RGB565
ssrdrebd       machine=ssriders         RGB565
ssrdrjbd       machine=ssriders         RGB565
ssrdruac       machine=ssriders         RGB565
ssrdrubc       machine=ssriders         RGB565
ssrdruda       machine=ssriders         RGB565
ssriders       machine=ssriders         RGB565
ssrj           machine=ssrj             RGB565
sstingry       machine=sstingry         RGB565
sstrangr       machine=sstrangr         RGB565
sstrike        machine=sstrike          RGB565
sstriker       machine=mahoudai         RGB565
sstrngr2       machine=sstrngr2         RGB565
stactics       machine=stactics         RGB565
stadhero       machine=stadhero         RGB565
stagger1       machine=stagger1         RGB565
stakwin        machine=neogeo           RGB565
stakwin2       machine=neogeo           RGB565
starcrus       machine=starcrus         RGB565
starfigh       machine=starfigh         RGB565
starfira       machine=starfire         RGB565
starfire       machine=starfire         RGB565
starforc       machine=senjyo           RGB565
starfore       machine=senjyo           RGB565
stargate       machine=williams         RGB565
starglad       machine=znqsound         RGB565
stargrds       machine=mono_sg          RGB565
starjack       machine=small            RGB565
starjacs       machine=small            RGB565
starlstr       machine=vsnes            RGB565
starshp1       machine=starshp1         RGB565
starshpp       machine=starshp1         RGB565
starswep       machine=coh110_primglex  RGB565
starw          machine=invaders         RGB565
statriv2       machine=statriv2         RGB565
stdragon       machine=system_A         RGB565
stfight        machine=stfight          RGB565
stg            machine=drgnunit         RGB565
stinger        machine=stinger          RGB565
stinger2       machine=stinger          RGB565
stkclmns       machine=segac2           RGB565
stlforce       machine=stlforce         RGB565
stocker        machine=balsente         RGB565
stoffy         machine=toffy            RGB565
stompin        machine=balsente         RGB565
stoneba2       machine=stonebal         RGB565
stonebal       machine=stonebal         RGB565
storming       machine=lsasquad         RGB565
strahl         machine=strahl           RGB565
strahla        machine=strahl           RGB565
stratab        machine=tmshi2203        RGB565
stratab1       machine=tmshi2203        RGB565
stratgys       machine=stratgyx         RGB565
stratgyx       machine=stratgyx         RGB565
stratvox       machine=stratvox         RGB565
streakng       machine=pacmanbl         RGB565
streets1       machine=searchar         RGB565
streetsj       machine=searchar         RGB565
streetsm       machine=streetsm         RGB565
streetsw       machine=searchar         RGB565
strhoop        machine=neogeo           RGB565
strider2       machine=znqsound         RGB565
stridr2a       machine=znqsound         RGB565
strkforc       machine=strkforc         RGB565
strkzone       machine=leland           RGB565
strnskil       machine=strnskil         RGB565
strtheat       machine=strtheat         RGB565
strvmstr       machine=strvmstr         RGB565
subhunt        machine=depthch          RGB565
subroc3d       machine=subroc3d         RGB565
subs           machine=subs             RGB565
sucasino       machine=jack             RGB565
sunsetbl       machine=ssridersbl       RGB565
supbtime       machine=supbtime         RGB565
supbtimj       machine=supbtime         RGB565
supdrapo       machine=supdrapo         RGB565
superbik       machine=cvs              RGB565
superbon       machine=type1            RGB565
superbug       machine=superbug         RGB565
superg         machine=galaxian         RGB565
superinv       machine=invaders         RGB565
superman       machine=superman         RGB565
superpac       machine=superpac         RGB565
superpcm       machine=superpac         RGB565
superqix       machine=superqix         RGB565
superspy       machine=neogeo           RGB565
supertnk       machine=supertnk         RGB565
supertr2       machine=supertr2         RGB565
superx         machine=superx           RGB565
superxm        machine=superx           RGB565
suprglob       machine=epos             RGB565
suprleag       machine=s16dummy         RGB565
suprloco       machine=suprloco         RGB565
suprmatk       machine=missile          RGB565
suprmous       machine=suprmous         RGB565
suprmrio       machine=vsnes            RGB565
suprslam       machine=suprslam         RGB565
supxevs        machine=vsnes            RGB565
surpratk       machine=surpratk         RGB565
survival       machine=survival         RGB565
sutapper       machine=mcr3_ssio        RGB565
suzume         machine=suzume           RGB565
svolley        machine=rpunch           RGB565
svolleyk       machine=rpunch           RGB565
svolleyu       machine=rpunch           RGB565
svolly91       machine=pspikes          RGB565
swarm          machine=galaxian         RGB565
swat           machine=system1          RGB565
swcourt        machine=namcona1w        RGB565
swimmer        machine=swimmer          RGB565
swimmera       machine=swimmer          RGB565
swimmerb       machine=swimmer          RGB565
sws95          machine=namconb1         RGB565
sws96          machine=namconb1         RGB565
sws97          machine=namconb1         RGB565
sws99          machine=coh700           RGB565
sxevious       machine=xevious          RGB565
syvalion       machine=syvalion         RGB565
szaxxon        machine=zaxxon           RGB565
tactcan2       machine=tactcian         RGB565
tactcian       machine=tactcian         RGB565
tagteam        machine=tagteam          RGB565
tail2nos       machine=tail2nos         RGB565
taitofx1       machine=fx1b             RGB565
tankbatt       machine=tankbatt         RGB565
tankbust       machine=tankbust         RGB565
tantr          machine=segac2           RGB565
tantrbl        machine=segac2           RGB565
tantrbl2       machine=segac            RGB565
taotaida       machine=taotaido         RGB565
taotaido       machine=taotaido         RGB565
tapper         machine=mcr3_ssio        RGB565
tappera        machine=mcr3_ssio        RGB565
targ           machine=targ             RGB565
targc          machine=targ             RGB565
targeth        machine=targeth          RGB565
taxidrvr       machine=taxidrvr         RGB565
tazmani2       machine=type2            RGB565
tazmania       machine=type1            RGB565
tbowl          machine=tbowl            RGB565
tbowlj         machine=tbowl            RGB565
tdfever        machine=tdfever          RGB565
tdfever2       machine=tdfever2         RGB565
tdfeverj       machine=tdfever          RGB565
tdragon        machine=tdragon          RGB565
tdragon2       machine=tdragon2         RGB565
tdragonb       machine=tdragonb         RGB565
teamqb         machine=lelandi          RGB565
teamqb2        machine=lelandi          RGB565
techromn       machine=znqsound         RGB565
teddybb        machine=system1          RGB565
teddybbo       machine=system1          RGB565
teedoff        machine=teedoff          RGB565
tehkanwc       machine=tehkanwc         RGB565
tekipaki       machine=tekipaki         RGB565
tekken         machine=coh100_tekken    RGB565
tekken2        machine=coh100_tekken    RGB565
tekken2a       machine=coh100_tekken    RGB565
tekken2b       machine=coh100_tekken    RGB565
tekken3        machine=coh700           RGB565
tekkena        machine=coh100_tekken    RGB565
tekkenb        machine=coh100_tekken    RGB565
tekkentt       machine=coh700           RGB565
teljan         machine=skns             RGB565
telmahjn       machine=telmahjn         RGB565
tengai         machine=s1945            RGB565
teplus2j       machine=tetrisp2         RGB565
terracra       machine=ym2203           RGB565
terracrb       machine=ym3526           RGB565
terracre       machine=ym3526           RGB565
terraf         machine=terraf           RGB565
terrafu        machine=terraf           RGB565
tetris         machine=tetris           RGB565
