mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
hmcompmx       machine=djmain           
hnayayoi       machine=hnayayoi         
hnfubuki       machine=hnfubuki         
hnkochou       machine=hanamai          
hoccer         machine=hoccer           
hoccer2        machine=hoccer           
hogalley       machine=vsnes            
holeland       machine=holeland         
holo           machine=system32         
homerun        machine=homerun          
homo           machine=goindol          
hopprobo       machine=hopprobo         
horizon        machine=horizon          
horshoes       machine=horshoes         
hotchase       machine=hotchase         
hotdebut       machine=ps4small         
hotdogst       machine=hotdogst         
hotgmck        machine=ps4big           
hotgmck3       machine=ps4big           
hotshock       machine=hotshock         
hourouki       machine=mrokumei         
housemn2       machine=mbmj_p16bit_LCD  
housemnq       machine=mbmj_p16bit_LCD  
hthero         machine=hthero           
hthero93       machine=f3_224a          
hthero95       machine=f3_224a          
hthro95u       machine=f3_224a          
hunchbak       machine=cvs              
hunchbkd       machine=hunchbkd         
hunchbks       machine=hunchbks         
huncholy       machine=cvs              
hustler        machine=hustler          
hustlerb       machine=hustlerb         
hvoltage       machine=splndrbt         
hvymetal       machine=hvymetal         
hwrace         machine=nomcu            
hydra          machine=atarig1          
hydrap         machine=atarig1          
hydrap2        machine=atarig1          
hyhoo          machine=hyhoo            
hyhoo2         machine=hyhoo            
hypreac2       machine=hypreac2         
hypreact       machine=hypreact         
hyprolyb       machine=hyprolyb         
iceclimb       machine=vsnes            
iceclmbj       machine=vsnes            
iceclmrj       machine=vsdual           
ichidant       machine=segac2           
ichidntb       machine=segac            
ichidnte       machine=segac2           
idhimitu       machine=mbmj_p12bit      
idolmj         machine=idolmj           
idsoccer       machine=idsoccer         
iemoto         machine=iemoto           
igmo           machine=epos             
ikki           machine=ikki             
imago          machine=imago            
imsorry        machine=system1          
imsorryj       machine=system1          
insector       machine=gottlieb         
insectx        machine=insectx          
intcup94       machine=f3_224a          
intrepi2       machine=intrepid         
intrepid       machine=intrepid         
inufuku        machine=inufuku          
invrvnga       machine=invrvnge         
invrvnge       machine=invrvnge         
ipminvad       machine=skychut          
irobot         machine=irobot           
ironhors       machine=ironhors         
irrmaze        machine=neogeo           
ixion          machine=ixion            
jack           machine=jack             
jack2          machine=jack             
jack3          machine=jack             
jackrab2       machine=zaccaria         
jackrabs       machine=zaccaria         
jackrabt       machine=zaccaria         
jajamaru       machine=vsnes            
janjans1       machine=janjans1         
janshin        machine=neogeo           
jchan          machine=jchan            
jdredd         machine=zn               
jdreddb        machine=zn               
jdreddp        machine=tunit_adpcm      
jedi           machine=jedi             
jgakuen        machine=znqsound         
jigkmgri       machine=bonzeadv         
jjack          machine=dorunrun         
jjparad2       machine=skns             
jjparads       machine=skns             
jjsquawk       machine=jjsquawk         
jleague        machine=system32         
jogakuen       machine=pteacher         
josvolly       machine=josvolly         
journey        machine=journey          
joyfulr        machine=munchmo          
joyjoy         machine=neogeo           
jpark          machine=jpark            
jsk            machine=janjans1         
jumpbug        machine=jumpbug          
jumpbugb       machine=jumpbug          
jumpcoas       machine=jumpcoas         
jumping        machine=jumping          
jumpkids       machine=jumpkids         
jungleh        machine=nomcu            
junglek        machine=nomcu            
jungler        machine=jungler          
junglers       machine=jungler          
junglhbr       machine=nomcu            
junglkj2       machine=nomcu            
junofrst       machine=junofrst         
junofstg       machine=junofrst         
kabukikl       machine=neogeo           
kaguya         machine=mbmj_p12bit      
kaiserkj       machine=f3_224a          
kaiserkn       machine=f3_224a          
kakumei        machine=jalmah           
kakumei2       machine=jalmah           
kamenrid       machine=kamenrid         
kamikcab       machine=boomrang         
kanatuen       machine=mbmj_p12bit      
kangaroa       machine=kangaroo         
kangarob       machine=kangaroo         
kangaroo       machine=kangaroo         
kaos           machine=gameplan         
karatblu       machine=karatblz         
karatblz       machine=karatblz         
karatedo       machine=kchamp           
karatevs       machine=kchampvs         
karatour       machine=karatour         
karnovr        machine=neogeo           
kchamp         machine=kchamp           
kchampvs       machine=kchampvs         
keithlcy       machine=keithlcy         
kick           machine=mcr1             
kicka          machine=mcr1             
kicker         machine=shaolins         
kickgoal       machine=kickgoal         
kicknrun       machine=mexico86         
kickridr       machine=dorunrun         
kidniki        machine=kidniki          
kikaioh        machine=znqsound         
kikikai        machine=kikikai          
kikstart       machine=kikstart         
killcom        machine=gameplan         
kingofb        machine=kingofb          
kinst          machine=kinst            
kinst2         machine=kinst            
kirameki       machine=f3_224a          
kirarast       machine=ms32             
kiwame         machine=kiwame           
kizuna         machine=neogeo           
klax           machine=klax             
klax2          machine=klax             
klax3          machine=klax             
klaxd          machine=klax             
klaxj          machine=klax             
klaxp1         machine=klaxp            
klaxp2         machine=klaxp            
kncljoe        machine=kncljoe          
kncljoea       machine=kncljoe          
knockout       machine=triplep          
kof2000        machine=neogeo           
kof2000n       machine=neogeo           
kof94          machine=neogeo           
kof95          machine=neogeo           
kof95a         machine=neogeo           
kof96          machine=neogeo           
kof96h         machine=neogeo           
kof97          machine=neogeo           
kof97a         machine=neogeo           
kof98          machine=neogeo           
kof98n         machine=neogeo           
kof99          machine=neogeo           
kof99a         machine=neogeo           
kof99e         machine=neogeo           
kof99n         machine=neogeo           
kof99p         machine=neogeo           
koikois2       machine=janjans1         
konamigt       machine=konamigt         
konamigx       machine=konamigx         
kopunch        machine=kopunch          
korinai        machine=ojousan          
koshien        machine=koshien          
kotm           machine=neogeo           
kotm2          machine=neogeo           
kotmh          machine=neogeo           
kouyakyu       machine=equites          
kov            machine=pgm              
kov115         machine=pgm              
kovplus        machine=pgm              
kovsh          machine=pgm              
kram           machine=mcu              
kram2          machine=mcu              
kram3          machine=qix              
kroozr         machine=mcr2             
krull          machine=krull            
krzybowl       machine=krzybowl         
ktiger2        machine=f3               
kungfub        machine=kungfum          
kungfub2       machine=kungfum          
kungfud        machine=kungfum          
kungfum        machine=kungfum          
kungfut        machine=kungfut          
kurikina       machine=kurikina         
kurikinj       machine=kurikint         
kurikint       machine=kurikint         
kurikinu       machine=kurikint         
kyros          machine=kyros            
kyrosj         machine=kyros            
kyustrkr       machine=ballbros         
labyrunk       machine=labyrunr         
labyrunr       machine=labyrunr         
ladybug        machine=ladybug          
ladybugb       machine=ladybug          
ladyfrog       machine=ladyfrog         
ladygolf       machine=vsnes            
ladykill       machine=karatour         
lagunar        machine=280zzzap         
landbrk        machine=vamphalf         
landmakr       machine=f3               
landmkrp       machine=f3               
lasso          machine=lasso            
lastblad       machine=neogeo           
lastbld2       machine=neogeo           
lastblda       machine=neogeo           
lastday        machine=lastday          
lastdaya       machine=lastday          
lastduel       machine=lastduel         
lastfero       machine=lastfort         
lastfort       machine=lastfort         
lazercmd       machine=lazercmd         
lbowling       machine=neogeo           
ldrun          machine=ldrun            
ldrun2         machine=ldrun2           
ldrun3         machine=ldrun3           
ldrun3jp       machine=ldrun3           
ldrun4         machine=ldrun4           
ldruna         machine=ldrun            
le2            machine=le2              
le2u           machine=le2              
ledstorm       machine=madgear          
legend         machine=legend           
legendos       machine=neogeo           
legionna       machine=legionna         
legionnu       machine=legionna         
lemnangl       machine=lemnangl         
leprechn       machine=leprechn         
lethalj        machine=lethalj          
levers         machine=jumpbug          
lghost         machine=shdancer         
liberat2       machine=liberat2         
liberatb       machine=liberatb         
liberate       machine=liberate         
liberatr       machine=liberatr         
lightbr        machine=f3_224a          
liquidk        machine=liquidk          
liquidku       machine=liquidk          
lkage          machine=lkage            
lkageb         machine=lkageb           
lkageb2        machine=lkageb           
lkageb3        machine=lkageb           
llander        machine=llander          
llander1       machine=llander          
lnc            machine=lnc              
locomotn       machine=locomotn         
loderdfa       machine=ps4small         
loderndf       machine=ps4small         
logger         machine=cvs              
lomakai        machine=system_Z         
looper         machine=changes          
looping        machine=looping          
loopinga       machine=looping          
losttmbh       machine=type1            
losttomb       machine=type1            
lotlot         machine=lotlot           
lottofun       machine=williams         
lresort        machine=neogeo           
lsasquad       machine=lsasquad         
lstduela       machine=lastduel         
lstduelb       machine=lastduel         
ltcasin2       machine=ltcasino         
ltcasino       machine=ltcasino         
lunarba1       machine=lunarbat         
lunarbat       machine=gravitar         
lupin3         machine=lupin3           
lvgirl94       machine=zerozone         
lwings         machine=lwings           
lwings2        machine=lwings           
lwingsjp       machine=lwings           
m4             machine=m4               
m660           machine=m660             
m660b          machine=m660             
m660j          machine=m660             
m79amb         machine=m79amb           
mace           machine=seattle200       
mach3          machine=mach3            
machbrkr       machine=namconb2         
machomou       machine=suprmous         
machridj       machine=vsnes            
machridr       machine=vsnes            
macross        machine=macross          
macross2       machine=macross2         
macrossp       machine=macrossp         
madgear        machine=madgear          
madgearj       machine=madgear          
madshark       machine=madshark         
magdrop2       machine=neogeo           
magdrop3       machine=neogeo           
maglord        machine=neogeo           
maglordh       machine=neogeo           
magmax         machine=magmax           
magspot        machine=magspot2         
magspot2       machine=magspot2         
magworm        machine=magworm          
mahretsu       machine=neogeo           
mainev2p       machine=mainevt          
mainevt        machine=mainevt          
mainevto       machine=mainevt          
majest12       machine=ssi              
majs101b       machine=majs101b         
makaiden       machine=system_Z         
makaimuc       machine=gng              
makaimug       machine=gng              
makaimur       machine=gng              
malzak         machine=malzak           
maniacsp       machine=maniacsq         
maniacsq       machine=maniacsq         
manybloc       machine=manybloc         
marineb        machine=marineb          
marinedt       machine=marinedt         
mariner        machine=mariner          
markham        machine=markham          
mars           machine=mars             
marukodq       machine=neogeo           
masao          machine=masao            
masterw        machine=masterw          
matmania       machine=matmania         
maxf_102       machine=r3knarrow        
maxforce       machine=r3knarrow        
maxrpm         machine=mono_tcs         
maya           machine=sprtmtch         
mayday         machine=defender         
maydaya        machine=defender         
maydayb        machine=defender         
mayumi         machine=mayumi           
maze           machine=8080bw           
mazerbla       machine=mazerbla         
mazinger       machine=mazinger         
mblkjack       machine=hitme            
mcatadv        machine=mcatadv          
mcatadvj       machine=mcatadv          
mdhorse        machine=coh700           
mechatt        machine=mechatt          
medlanes       machine=medlanes         
megab          machine=megab            
megabj         machine=megab            
megadon        machine=epos             
megaman2       machine=cps2             
megamn2a       machine=cps2             
megatack       machine=gameplan         
megatech       machine=megatech         
megaznik       machine=megazone         
megazone       machine=megazone         
meosism        machine=meosism          
mermaid        machine=mermaid          
metafox        machine=metafox          
metalb         machine=metalb           
metalbj        machine=metalb           
metamrph       machine=metamrph         
metamrpj       machine=metamrph         
meteor         machine=spcforce         
mexico86       machine=mexico86         
mgcldate       machine=fx1a             
mgcldtea       machine=fx1a             
mgcrystj       machine=mgcrystl         
mgcrystl       machine=mgcrystl         
mhavoc         machine=mhavoc           
mhavoc2        machine=mhavoc           
mhavocp        machine=mhavoc           
mhavocrv       machine=mhavoc           
mhgaiden       machine=mrokumei         
miexchng       machine=neogeo           
mightybj       machine=vsnes            
mikie          machine=mikie            
mikiehs        machine=mikie            
mikiej         machine=mikie            
milliped       machine=milliped         
millpac        machine=centipb2         
mimonkey       machine=mimonkey         
mimonsco       machine=mimonkey         
mimonscr       machine=mimonscr         
minasan        machine=neogeo           
minefld        machine=minefld          
minferno       machine=minferno         
minigol2       machine=balsente         
minigolf       machine=balsente         
minivadr       machine=minivadr         
missile        machine=missile          
missile2       machine=missile          
missw96        machine=comad            
mizubaku       machine=liquidk          
mj4simai       machine=mj4simai         
mjcamera       machine=otonano          
mjclinic       machine=mrokumei         
mjderngr       machine=mjderngr         
mjdiplob       machine=mjdiplob         
mjhokite       machine=mrokumei         
mjifb          machine=mjderngr         
mjikaga        machine=lemnangl         
mjkinjas       machine=mjkinjas         
mjkjidai       machine=mjkjidai         
mjkojink       machine=pteacher         
mjnquesb       machine=mjnquest         
mjnquest       machine=mjnquest         
mjsikakb       machine=mjsikaku         
mjsikaku       machine=mjsikaku         
mjsister       machine=mjsister         
mjyougo        machine=pteacher         
mjyuugi        machine=mjyuugi          
mjyuugia       machine=mjyuugi          
mjzoomin       machine=jalmah           
mk             machine=tunit_adpcm      
mk3            machine=wunit            
mk3r10         machine=wunit            
mk3r20         machine=wunit            
mkla1          machine=mk               
mkla2          machine=mk               
mkla3          machine=mk               
mkla4          machine=mk               
mkprot9        machine=mk               
mkr4           machine=tunit_adpcm      
mmatrix        machine=cps2             
mmatrixj       machine=cps2             
mmonkey        machine=mmonkey          
mnchmobl       machine=munchmo          
mnight         machine=mnight           
moegonta       machine=karatour         
moguchan       machine=percuss          
mogura         machine=mogura           
mole           machine=mole             
momoko         machine=momoko           
montecar       machine=montecar         
monymony       machine=zaccaria         
moobl          machine=moobl            
moonwalk       machine=moonwalk         
moonwar        machine=moonwar          
moonwara       machine=moonwar          
moonwlka       machine=moonwalk         
moonwlkb       machine=moonwalk         
mosaic         machine=mosaic           
mosaica        machine=mosaic           
mosyougi       machine=neogeo           
motofren       machine=atarigx2         
motorace       machine=travrusa         
mouser         machine=mouser           
mouserc        machine=mouser           
mpangj         machine=cps2             
mpatrol        machine=mpatrol          
mpatrolw       machine=mpatrol          
mplanets       machine=gottlieb         
mplanuk        machine=gottlieb         
mrdo           machine=mrdo             
mrdofix        machine=mrdo             
mrdot          machine=mrdo             
mrdoy          machine=mrdo             
mrdrillr       machine=coh700           
mrdrilr2       machine=namcos10         
mrdu           machine=mrdo             
mrflea         machine=mrflea           
mrgoemon       machine=mrgoemon         
mrjong         machine=mrjong           
mrkougar       machine=mrkougar         
mrkougb        machine=mrkougb          
mrkougr2       machine=mrkougar         
mrlo           machine=mrdo             
mrokumei       machine=mrokumei         
mrviking       machine=small            
mrvikngj       machine=small            
msgunda1       machine=msgundam         
msgundam       machine=msgundam         
msh            machine=cps2             
msha           machine=cps2             
mshb           machine=cps2             
mshh           machine=cps2             
mshj           machine=cps2             
mshu           machine=cps2             
mshvsf         machine=cps2             
mshvsfa        machine=cps2             
mshvsfa1       machine=cps2             
mshvsfb        machine=cps2             
mshvsfb1       machine=cps2             
mshvsfh        machine=cps2             
mshvsfj        machine=cps2             
mshvsfj1       machine=cps2             
mshvsfj2       machine=cps2             
mshvsfu1       machine=cps2             
msisaac        machine=msisaac          
mslider        machine=mslider          
mslug          machine=neogeo           
mslug2         machine=neogeo           
mslug3         machine=neogeo           
mslug3n        machine=neogeo           
mslugx         machine=neogeo           
mstadium       machine=bottom9          
mt_aftrb       machine=megatech         
mt_astro       machine=megatech         
mt_bbros       machine=megatech         
mt_beast       machine=megatech         
mt_eswat       machine=megatech         
mt_fshrk       machine=megatech         
mt_gaxe        machine=megatech         
mt_gaxe2       machine=megatech         
mt_ggolf       machine=megatech         
mt_gng         machine=megatech         
mt_gsocr       machine=megatech         
mt_kcham       machine=megatech         
mt_lastb       machine=megatech         
mt_mwalk       machine=megatech         
mt_mystd       machine=megatech         
mt_parlg       machine=megatech         
mt_revsh       machine=megatech         
mt_shar2       machine=megatech         
mt_shnbi       machine=megatech         
mt_smgp        machine=megatech         
mt_sonic       machine=megatech         
mt_stbld       machine=megatech         
mt_tetri       machine=megatech         
mt_tfor2       machine=megatech         
mt_tgolf       machine=megatech         
mt_tlbba       machine=megatech         
mt_wcsoc       machine=megatech         
mtlchamp       machine=martchmp         
mtlchmpj       machine=martchmp         
mustache       machine=mustache         
mustang        machine=mustang          
mustangb       machine=mustangb         
mustangs       machine=mustang          
mutnat         machine=neogeo           
mvsc           machine=cps2             
mvsca          machine=cps2             
mvsch          machine=cps2             
mvscj          machine=cps2             
mvscjr1        machine=cps2             
myangel        machine=myangel          
myangel2       machine=myangel2         
myangel3       machine=coh110_primglex  
myhero         machine=system1          
myherok        machine=system1          
mysticm        machine=williams2        
myststno       machine=mystston         
mystston       machine=mystston         
mystwarr       machine=mystwarr         
mystwaru       machine=mystwarr         
nam1975        machine=neogeo           
nametune       machine=balsente         
naname         machine=ohmygod          
nastar         machine=rastsag2         
nastarw        machine=rastsag2         
nbajamex       machine=zn               
ncombat        machine=neogeo           
ncommand       machine=neogeo           
ncv1           machine=namcond1         
ncv1j          machine=namcond1         
ncv1j2         machine=namcond1         
ncv2           machine=namcond1         
ncv2j          machine=namcond1         
nebulray       machine=namconb1         
nebulryj       machine=namconb1         
nekkyoku       machine=nekkyoku         
neobattl       machine=umanclub         
neobombe       machine=neogeo           
neocup98       machine=neogeo           
neodrift       machine=neogeo           
neomrdo        machine=neogeo           
netwars        machine=netwars          
newfant        machine=comad            
news           machine=news             
newsin7        machine=newsin7          
nightstr       machine=nightstr         
ninjak         machine=ninjak           
ninjakd2       machine=ninjakd2         
ninjakj        machine=ninjak           
ninjakun       machine=ninjakid         
ninjamas       machine=neogeo           
nitd           machine=neogeo           
nitedrvr       machine=nitedrvr         
noboranb       machine=noboranb         
nomnlnd        machine=nomnlnd          
nomnlndg       machine=nomnlnd          
nost           machine=nost             
nostj          machine=nost             
nostk          machine=nost             
nouryoku       machine=bjtwin           
nov2001u       machine=nova2001         
nova2001       machine=nova2001         
nprinces       machine=system1          
nprincsb       machine=system1          
nprincso       machine=system1          
nprincsu       machine=system1          
nstocker       machine=balsente         
nunchaku       machine=tsamurai         
nwarr          machine=cps2             
nwarrb         machine=cps2             
nwarrh         machine=cps2             
nycaptor       machine=nycaptor         
nyny           machine=nyny             
nynyg          machine=nyny             
offtwalc       machine=offtwall         
offtwall       machine=offtwall         
ogonsiro       machine=gladiatr         
ohmygod        machine=ohmygod          
oigas          machine=oigas            
oisipuzl       machine=oisipuzl         
ojanko2        machine=ojankoy          
ojankoc        machine=ojankoc          
ojankohs       machine=ojankohs         
ojankoy        machine=ojankoy          
ojousan        machine=ojousan          
olibochu       machine=olibochu         
olysoc92       machine=cupsoc           
omegaf         machine=omegaf           
omegafs        machine=omegaf           
omegrace       machine=omegrace         
onna34ra       machine=onna34ro         
onna34ro       machine=onna34ro         
opaopa         machine=segae            
opengolf       machine=opengolf         
opwolf3        machine=opwolf3          
opwolf3u       machine=opwolf3          
orangec        machine=mbmj_p16bit      
orbit          machine=orbit            
orlegend       machine=pgm              
orlegndc       machine=pgm              
orlegnde       machine=pgm              
orunners       machine=multi32          
othldrby       machine=othldrby         
othunder       machine=othunder         
othundu        machine=othunder         
otonano        machine=otonano          
otwalls        machine=balsente         
outfxesj       machine=namconb2         
outfxies       machine=namconb2         
outline        machine=cvs              
overtop        machine=neogeo           
ozon1          machine=ozon1            
p47aces        machine=ms32             
pacapp         machine=coh700           
pairs          machine=pairs            
pairsa         machine=pairs            
palamed        machine=palamed          
pandoras       machine=pandoras         
pangpomm       machine=pangpoms         
pangpoms       machine=pangpoms         
panicbom       machine=neogeo           
panicstr       machine=skns             
paradise       machine=paradise         
pass           machine=pass             
pastelgl       machine=pastelgl         
pbactio2       machine=pbaction         
pbaction       machine=pbaction         
pbillrd        machine=pbillrd          
pbillrds       machine=pbillrd          
pbobbl2j       machine=f3               
pbobbl2n       machine=neogeo           
pbobbl2u       machine=f3               
pbobbl2x       machine=f3               
pbobbl3j       machine=f3               
pbobbl3u       machine=f3               
pbobbl4j       machine=f3               
pbobbl4u       machine=f3               
pbobble        machine=pbobble          
pbobble2       machine=f3               
pbobble3       machine=f3               
pbobble4       machine=f3               
pbobblen       machine=neogeo           
pbobblna       machine=neogeo           
pc_1942        machine=playch10         
pc_bball       machine=playch10         
pc_bfght       machine=playch10         
pc_bstar       machine=playch10         
pc_cntra       machine=playch10         
pc_cshwk       machine=playch10         
pc_cvnia       machine=playch10         
pc_dbldr       machine=playch10         
pc_ddrgn       machine=playch10         
pc_drmro       machine=playch10         
pc_duckh       machine=playch10         
pc_ebike       machine=playch10         
pc_ftqst       machine=playch10         
pc_gntlt       machine=playch10         
pc_golf        machine=playch10         
pc_goons       machine=playch10         
pc_grdue       machine=playch10         
pc_grdus       machine=playch10         
pc_hgaly       machine=playch10         
pc_kngfu       machine=playch10         
pc_mario       machine=playch10         
pc_miket       machine=playchnv         
pc_mman3       machine=playch10         
pc_moglf       machine=playch10         
pc_mtoid       machine=playch10         
pc_ngai2       machine=playch10         
pc_ngai3       machine=playch10         
pc_ngaid       machine=playch10         
pc_pinbt       machine=playch10         
pc_pwbld       machine=playch10         
pc_pwrst       machine=playch10         
pc_radr2       machine=playch10         
pc_radrc       machine=playch10         
pc_rcpam       machine=playch10         
pc_rkats       machine=playch10         
pc_rnatk       machine=playch10         
pc_rrngr       machine=playch10         
pc_rygar       machine=playch10         
pc_sjetm       machine=playch10         
pc_smb         machine=playch10         
pc_smb2        machine=playch10         
pc_smb3        machine=playch10         
pc_suprc       machine=playch10         
pc_tbowl       machine=playch10         
pc_tenis       machine=playch10         
pc_tkfld       machine=playch10         
pc_tmnt        machine=playch10         
pc_tmnt2       machine=playch10         
pc_trjan       machine=playch10         
pc_vball       machine=playch10         
pc_wcup        machine=playch10         
pc_wgnmn       machine=playch10         
pc_ynoid       machine=playch10         
pclubj         machine=segac2           
pclubjv2       machine=segac2           
pclubjv4       machine=segac2           
pclubjv5       machine=segac2           
peekaboo       machine=system_D         
penbros        machine=penbros          
percuss        machine=percuss          
perestro       machine=superqix         
perfrman       machine=perfrman         
perfrmau       machine=perfrman         
pestplce       machine=pestplce         
pettanp        machine=strnskil         
pfghtj         machine=cps2             
pgear          machine=cps2             
pgearr1        machine=cps2             
pgm            machine=pgm              
pgoal          machine=neogeo           
phantom2       machine=phantom2         
photoy2k       machine=pgm              
pickin         machine=pickin           
pignewt        machine=pignewt          
pignewta       machine=pignewt          
pigskin        machine=pigskin          
pinbo          machine=pinbo            
pinbos         machine=pinbo            
pingpong       machine=pingpong         
pipedrm        machine=pipedrm          
pipedrmj       machine=pipedrm          
pirates        machine=pirates          
piratpet       machine=nomcu            
pitfall2       machine=pitfall2         
pitfallu       machine=pitfall2         
pitfigh3       machine=atarig1          
pitfighb       machine=atarig1          
pitfighj       machine=atarig1          
pitfight       machine=atarig1          
pitnrun        machine=pitnrun          
pkunwar        machine=pkunwar          
pkunwarj       machine=pkunwar          
platoon        machine=vsnes            
playball       machine=playball         
playch10       machine=playch10         
plctr13b       machine=sshooter         
plgirls        machine=cachat           
plgirls2       machine=cachat           
plotting       machine=plotting         
plumppop       machine=drtoppel         
plygonet       machine=plygonet         
poitto         machine=poitto           
polaris        machine=polaris          
polarisa       machine=polaris          
policeto       machine=policetr         
policetr       machine=policetr         
pollux         machine=pollux           
polluxa        machine=pollux           
ponchin        machine=mjyuugi          
ponchina       machine=mjyuugi          
poolshrk       machine=poolshrk         
pootan         machine=pooyan           
pooyan         machine=pooyan           
pooyans        machine=pooyan           
popbounc       machine=neogeo           
popeye         machine=popeye           
popeyebl       machine=popeyebl         
popeyef        machine=popeye           
popeyeu        machine=popeye           
popnpop        machine=f3               
popnpopj       machine=f3               
popnpopu       machine=f3               
popper         machine=popper           
portman        machine=intrepid         
portrait       machine=portrait         
potogold       machine=leprechn         
potopoto       machine=segac2           
powerdrv       machine=mono_sg          
powerina       machine=powerina         
powerins       machine=powerins         
preisle2       machine=neogeo           
primglex       machine=coh110_primglex  
primrag2       machine=zn               
primraga       machine=atarigt          
primrage       machine=atarigt          
prmrsocj       machine=prmrsocr         
prmrsocr       machine=prmrsocr         
prmtmfgo       machine=f3               
prmtmfgt       machine=f3               
profpac        machine=profpac          
progress       machine=progress         
propcycl       machine=namcos22s        
prosoccr       machine=prosoccr         
prosport       machine=prosport         
psarc95        machine=zn               
pspikes        machine=pspikes          
pspikes2       machine=neogeo           
pspikesk       machine=pspikes          
psurge         machine=timeplt          
psychic5       machine=psychic5         
psyforce       machine=fx1a             
ptblank        machine=namconb1         
puchicar       machine=f3               
puckpkmn       machine=puckpkmn         
pulirula       machine=pulirula         
pulirulj       machine=pulirula         
pulstar        machine=neogeo           
pururun        machine=pururun          
pushman        machine=pushman          
puyopuy2       machine=segac2           
puyopuya       machine=segac2           
puyopuyb       machine=segac2           
puyopuyo       machine=segac2           
puzldama       machine=konamigx         
puzloopj       machine=skns             
puzloopu       machine=skns             
puzzldpr       machine=neogeo           
puzzledp       machine=neogeo           
puzzloop       machine=skns             
puzznic        machine=puzznic          
pwheelsj       machine=dblaxle          
pwrgoal        machine=f3_224a          
pwrinst2       machine=pwrinst2         
pzlbowl        machine=pzlbowl          
qcrayon        machine=qcrayon          
qcrayon2       machine=qcrayon2         
qjinsei        machine=qjinsei          
qndream        machine=cps2             
qtheater       machine=f3_224c          
qtorimon       machine=qtorimon         
quantum        machine=quantum          
quantum1       machine=quantum          
quantump       machine=quantum          
quiz18k        machine=quiz18k          
quizdai2       machine=neogeo           
quizdais       machine=neogeo           
quizdna        machine=quizdna          
quizhq         machine=quizhq           
quizhuhu       machine=f3               
quizkof        machine=neogeo           
quizmoon       machine=quizmoon         
quizpani       machine=quizpani         
qwak           machine=qwak             
qzchikyu       machine=qzchikyu         
qzkklgy2       machine=qzkklgy2         
qzkklogy       machine=drgnunit         
qzquest        machine=qzquest          
qzshowby       machine=qzshowby         
r2dtank        machine=r2dtank          
rabbit         machine=rabbit           
racedcb4       machine=racedrvc         
racedcg4       machine=racedrvc         
racedrb1       machine=racedriv         
racedrb4       machine=racedriv         
racedrc1       machine=racedrvc         
racedrc2       machine=racedrvc         
racedrc4       machine=racedrvc         
racedrcb       machine=racedrvc         
racedrcg       machine=racedrvc         
racedrg1       machine=racedriv         
racedrg4       machine=racedriv         
racedriv       machine=racedriv         
racedrv1       machine=racedriv         
racedrv2       machine=racedriv         
racedrv3       machine=racedriv         
racedrv4       machine=racedriv         
racedrvb       machine=racedriv         
racedrvc       machine=racedrvc         
racedrvg       machine=racedriv         
racinfrc       machine=racinfrc         
racoon         machine=vamphalf         
radarzn1       machine=cvs              
radarznt       machine=cvs              
radarzon       machine=cvs              
radm           machine=system32         
radr           machine=sys32_hi         
radrad         machine=no_nvram         
raflesia       machine=system1          
ragnagrd       machine=neogeo           
raiden         machine=raiden           
raiden2        machine=raiden2          
raidena        machine=raidena          
raidenk        machine=raidena          
raident        machine=raidena          
raiders5       machine=raiders5         
raidrs5t       machine=raiders5         
raiga          machine=raiga            
raimais        machine=raimais          
rambo3         machine=rambo3           
rambo3a        machine=rambo3a          
rambo3ae       machine=rambo3a          
rampage        machine=mono_sg          
rampage2       machine=mono_sg          
raphero        machine=raphero          
rastsag2       machine=rastsag2         
raveracw       machine=namcos22         
rayforce       machine=f3_224a          
rayforcj       machine=f3_224a          
raystorm       machine=fx1b             
razmataz       machine=razmataz         
rbff1          machine=neogeo           
rbff2          machine=neogeo           
rbff2a         machine=neogeo           
rbffspec       machine=neogeo           
rbibb          machine=vsnes            
rbibba         machine=vsnes            
rbtapper       machine=mcr3_ssio        
rckman2j       machine=cps2             
recordbr       machine=recordbr         
redalert       machine=redalert         
redclash       machine=redclash         
redclask       machine=redclash         
redrobin       machine=fastfred         
regulus        machine=small            
reguluso       machine=small            
regulusu       machine=small            
reikaids       machine=reikaids         
repulse        machine=sonofphx         
rescraid       machine=balsente         
rescrdsa       machine=balsente         
rescue         machine=rescue           
retofin1       machine=retofinb         
retofin2       machine=retofinb         
retofinv       machine=retofinv         
rezon          machine=rezon            
ribbit         machine=segac2           
ridefgtj       machine=f3_224b          
ridefgtu       machine=f3_224b          
ridger2j       machine=namcos22         
ridgeraj       machine=namcos22         
ridhero        machine=neogeo           
ridheroh       machine=neogeo           
ridingf        machine=f3_224b          
